Paspor yang dipegang,,,,,,,,,,,,,
,Jumlah Kunjungan Wisatawan Mancanegara per bulan Menurut Paspor yang Dipegang (Kunjungan),,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Malta,107,79,142,100,-,-,-,-,-,-,-,-,-
Luxemburg,78,99,216,132,-,-,-,-,-,-,-,-,-
Liechtenstein,8,44,16,14,-,-,-,-,-,-,-,-,-
Monako,6,6,7,7,-,-,-,-,-,-,-,-,-
Andorra,5,11,17,20,-,-,-,-,-,-,-,-,-
San Marino,4,4,3,1,-,-,-,-,-,-,-,-,-
Aruba,1,3,1,1,-,-,-,-,-,-,-,-,-
Scotlandia,0,0,0,0,-,-,-,-,-,-,-,-,-
Vatikan,0,0,1,2,-,-,-,-,-,-,-,-,-
Volta Atas,0,0,0,0,-,-,-,-,-,-,-,-,-
Hellenic,0,0,0,0,-,-,-,-,-,-,-,-,-
Wales,0,0,0,0,-,-,-,-,-,-,-,-,-
Other East Europe,1672,1804,1443,1857,-,-,-,-,-,-,-,-,-
Serbia,419,379,267,358,-,-,-,-,-,-,-,-,-
Slovenia,293,465,340,633,-,-,-,-,-,-,-,-,-
Armenia,206,138,77,101,-,-,-,-,-,-,-,-,-
Azerbaijan,151,176,318,152,-,-,-,-,-,-,-,-,-
Cyprus,127,203,134,129,-,-,-,-,-,-,-,-,-
Macedonia,104,69,61,59,-,-,-,-,-,-,-,-,-
Bosnia Herzegovina,91,46,51,139,-,-,-,-,-,-,-,-,-
Georgia,93,98,33,69,-,-,-,-,-,-,-,-,-
Albania,71,116,81,111,-,-,-,-,-,-,-,-,-
Moldova,70,95,62,68,-,-,-,-,-,-,-,-,-
Montenegro,47,19,19,38,-,-,-,-,-,-,-,-,-
Republik Cosovo,0,0,0,0,-,-,-,-,-,-,-,-,-
Siberia,0,0,0,0,-,-,-,-,-,-,-,-,-
Yugoslavia,0,0,0,0,-,-,-,-,-,-,-,-,-
TOTAL EUROPE,154713,157874,154500,181579,-,-,-,-,-,-,-,-,-
United States of America,27818,27359,35017,37017,-,-,-,-,-,-,-,-,-
Canada,8432,8965,9609,9552,-,-,-,-,-,-,-,-,-
Brazilia,2342,2219,2405,2979,-,-,-,-,-,-,-,-,-
Kolombia,1460,1218,1307,1480,-,-,-,-,-,-,-,-,-
Argentina,1323,1005,963,1102,-,-,-,-,-,-,-,-,-
Mexiko,1087,1068,1318,1829,-,-,-,-,-,-,-,-,-
Chili,968,1274,849,921,-,-,-,-,-,-,-,-,-
Central America,188,109,188,179,-,-,-,-,-,-,-,-,-
Costarika,85,23,80,72,-,-,-,-,-,-,-,-,-
Guatemala,35,29,66,30,-,-,-,-,-,-,-,-,-
Panama,34,13,12,36,-,-,-,-,-,-,-,-,-
Honduras,16,20,5,10,-,-,-,-,-,-,-,-,-
El Salvador,12,13,15,23,-,-,-,-,-,-,-,-,-
Nicaragua,2,10,5,3,-,-,-,-,-,-,-,-,-
Belize,4,1,5,5,-,-,-,-,-,-,-,-,-
South America,691,715,734,900,-,-,-,-,-,-,-,-,-
Peru,324,289,300,309,-,-,-,-,-,-,-,-,-
Venezuela,108,77,81,110,-,-,-,-,-,-,-,-,-
Ekuador,112,134,138,157,-,-,-,-,-,-,-,-,-
Uruguay,64,169,178,271,-,-,-,-,-,-,-,-,-
Paraguay,47,22,8,9,-,-,-,-,-,-,-,-,-
Bolivia,22,13,11,15,-,-,-,-,-,-,-,-,-
Suriname,12,7,17,16,-,-,-,-,-,-,-,-,-
Guyana,2,4,1,13,-,-,-,-,-,-,-,-,-
Falkland Islands,0,0,0,0,-,-,-,-,-,-,-,-,-
Guiana,0,0,0,0,-,-,-,-,-,-,-,-,-
Other America,234,215,249,255,-,-,-,-,-,-,-,-,-
UNO,88,69,84,89,-,-,-,-,-,-,-,-,-
Kuba,45,9,8,14,-,-,-,-,-,-,-,-,-
Dominika,18,17,9,26,-,-,-,-,-,-,-,-,-
Trinidad & Tobago,17,27,32,29,-,-,-,-,-,-,-,-,-
St. Kitts & Nevis,11,12,39,25,-,-,-,-,-,-,-,-,-
Jamaika,12,23,19,10,-,-,-,-,-,-,-,-,-
Barbados,9,5,3,4,-,-,-,-,-,-,-,-,-
Grenadines (Grenada),8,3,5,7,-,-,-,-,-,-,-,-,-
St. Lucia,8,9,7,13,-,-,-,-,-,-,-,-,-
Antigua & Barbuda,6,8,7,8,-,-,-,-,-,-,-,-,-
Bahama Islands,2,7,5,1,-,-,-,-,-,-,-,-,-
Haiti,4,4,7,6,-,-,-,-,-,-,-,-,-
Dominika Rep.,4,21,23,22,-,-,-,-,-,-,-,-,-
St. Vincent,2,1,1,1,-,-,-,-,-,-,-,-,-
Alaska,0,0,0,0,-,-,-,-,-,-,-,-,-
Bermuda,0,0,0,0,-,-,-,-,-,-,-,-,-
Martinique,0,0,0,0,-,-,-,-,-,-,-,-,-
Puertorico,0,0,0,0,-,-,-,-,-,-,-,-,-
St. Christopher,0,0,0,0,-,-,-,-,-,-,-,-,-
Guadelope,0,0,0,0,-,-,-,-,-,-,-,-,-
TOTAL AMERICA,44543,44147,52639,56214,-,-,-,-,-,-,-,-,-
Australia,146107,107437,130718,157960,-,-,-,-,-,-,-,-,-
Papua New Guinea,17417,13794,12133,12399,-,-,-,-,-,-,-,-,-
New Zealand,9892,9186,11037,14587,-,-,-,-,-,-,-,-,-
Other Oceania,158,151,177,225,-,-,-,-,-,-,-,-,-
Fiji Islands,107,101,96,128,-,-,-,-,-,-,-,-,-
Vanuatu,17,19,14,28,-,-,-,-,-,-,-,-,-
Tonga,9,5,8,8,-,-,-,-,-,-,-,-,-
Solomon Islands,5,4,34,24,-,-,-,-,-,-,-,-,-
Samoa,5,4,4,13,-,-,-,-,-,-,-,-,-
Nauru,1,5,1,1,-,-,-,-,-,-,-,-,-
Palau Rep.,14,7,19,21,-,-,-,-,-,-,-,-,-
Cooks Islands,0,0,0,0,-,-,-,-,-,-,-,-,-
Guam,0,0,0,0,-,-,-,-,-,-,-,-,-
Kaledonia,0,0,0,0,-,-,-,-,-,-,-,-,-
Karibati (Kiribati),0,0,0,1,-,-,-,-,-,-,-,-,-
Marshall Islands,0,0,1,0,-,-,-,-,-,-,-,-,-
Micronesia Rep.,0,6,0,0,-,-,-,-,-,-,-,-,-
Niue,0,0,0,0,-,-,-,-,-,-,-,-,-
Polynesia,0,0,0,0,-,-,-,-,-,-,-,-,-
Samoa Barat,0,0,0,0,-,-,-,-,-,-,-,-,-
Tuvalu,0,0,0,1,-,-,-,-,-,-,-,-,-
Walis & Futuna,0,0,0,0,-,-,-,-,-,-,-,-,-
TOTAL OCEANIA,173574,130568,154065,185171,-,-,-,-,-,-,-,-,-
South Africa,2098,1675,1810,2891,-,-,-,-,-,-,-,-,-
Maroko,857,453,371,990,-,-,-,-,-,-,-,-,-
Other Africa,2812,2644,1867,3700,-,-,-,-,-,-,-,-,-
Kenya,436,534,290,535,-,-,-,-,-,-,-,-,-
Tunisia,372,220,213,691,-,-,-,-,-,-,-,-,-
Aljazair / Algeria,332,137,96,421,-,-,-,-,-,-,-,-,-
Mauritius,309,294,227,269,-,-,-,-,-,-,-,-,-
Tanzania,188,132,102,184,-,-,-,-,-,-,-,-,-
Libya,131,71,52,167,-,-,-,-,-,-,-,-,-
Nigeria,126,224,170,311,-,-,-,-,-,-,-,-,-
Mozambik,84,55,39,61,-,-,-,-,-,-,-,-,-
Zimbabwe,129,87,128,132,-,-,-,-,-,-,-,-,-
Sudan,84,38,68,153,-,-,-,-,-,-,-,-,-
Somalia,56,31,42,64,-,-,-,-,-,-,-,-,-
Ghana,63,146,66,109,-,-,-,-,-,-,-,-,-
Kamerun,55,54,45,84,-,-,-,-,-,-,-,-,-
Uganda,53,107,33,73,-,-,-,-,-,-,-,-,-
Malagasy (Madagascar),63,63,24,33,-,-,-,-,-,-,-,-,-
Ethiopia,35,78,25,49,-,-,-,-,-,-,-,-,-
Congo Rep. Dem.,33,18,19,16,-,-,-,-,-,-,-,-,-
Seychelles,24,16,4,21,-,-,-,-,-,-,-,-,-
Burkina Faso,21,24,13,25,-,-,-,-,-,-,-,-,-
Rwanda,20,31,19,29,-,-,-,-,-,-,-,-,-
Zambia,19,81,15,16,-,-,-,-,-,-,-,-,-
Malawi,14,10,9,11,-,-,-,-,-,-,-,-,-
Senegal,18,7,16,33,-,-,-,-,-,-,-,-,-
Comoros,15,12,1,13,-,-,-,-,-,-,-,-,-
Mali,13,15,19,14,-,-,-,-,-,-,-,-,-
Eritrea,12,7,4,3,-,-,-,-,-,-,-,-,-
Chad,9,8,2,21,-,-,-,-,-,-,-,-,-
Sierra Leona,9,8,6,14,-,-,-,-,-,-,-,-,-
Namibia,8,5,8,11,-,-,-,-,-,-,-,-,-
Gambia,8,8,12,3,-,-,-,-,-,-,-,-,-
Bostwana,7,9,11,15,-,-,-,-,-,-,-,-,-
Liberia,7,10,16,13,-,-,-,-,-,-,-,-,-
Swaziland,7,5,2,4,-,-,-,-,-,-,-,-,-
Guinea,6,10,6,6,-,-,-,-,-,-,-,-,-
Cape Verde,6,4,3,4,-,-,-,-,-,-,-,-,-
Ivory Coast (Pantai Gading),6,12,14,21,-,-,-,-,-,-,-,-,-
Congo,3,11,8,14,-,-,-,-,-,-,-,-,-
Burundi,5,1,0,2,-,-,-,-,-,-,-,-,-
Mauritania,4,2,0,7,-,-,-,-,-,-,-,-,-
Togo,6,8,6,4,-,-,-,-,-,-,-,-,-
Gabon,3,8,1,5,-,-,-,-,-,-,-,-,-
Lesotho,3,3,3,4,-,-,-,-,-,-,-,-,-
South Sudan,2,0,5,7,-,-,-,-,-,-,-,-,-
Niger,2,5,1,7,-,-,-,-,-,-,-,-,-
Djibouti,0,7,2,7,-,-,-,-,-,-,-,-,-
Guinea Equator,1,2,0,0,-,-,-,-,-,-,-,-,-
Afrika Tengah Rep.,1,1,0,0,-,-,-,-,-,-,-,-,-
Angola,3,16,3,9,-,-,-,-,-,-,-,-,-
Benin,1,9,16,4,-,-,-,-,-,-,-,-,-
Sahara,0,0,0,0,-,-,-,-,-,-,-,-,-
Sao Tome & Principe,0,0,0,0,-,-,-,-,-,-,-,-,-
Zaire,0,0,0,0,-,-,-,-,-,-,-,-,-
Burkinabe,0,0,0,0,-,-,-,-,-,-,-,-,-
Cabinda,0,0,0,0,-,-,-,-,-,-,-,-,-
Guinea Bissau,0,0,3,1,-,-,-,-,-,-,-,-,-
Maseru,0,0,0,0,-,-,-,-,-,-,-,-,-
Zomba,0,0,0,0,-,-,-,-,-,-,-,-,-
TOTAL AFRICA,5767,4772,4048,7581,-,-,-,-,-,-,-,-,-
GRAND TOTAL,1188420,1159690,1088166,1248651,-,-,-,-,-,-,-,-,-
