id,kode_sumber,entitas_parent,entitas_child,kategori,tahun,periode,nilai,created_at
33,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,Restoran dan Hotel,nan,2010,Triwulan III,86512.6,2026-07-09 11:56:13.319
34,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,Restoran dan Hotel,nan,2010,Triwulan IV,84564.53,2026-07-09 11:56:13.319
35,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,Restoran dan Hotel,nan,2010,Tahunan,337157.88,2026-07-09 11:56:13.319
36,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,Lainnya,nan,2010,Triwulan I,41216.99,2026-07-09 11:56:13.319
37,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,Lainnya,nan,2010,Triwulan II,42011.66,2026-07-09 11:56:13.319
38,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,Lainnya,nan,2010,Triwulan III,42741.11,2026-07-09 11:56:13.319
39,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,Lainnya,nan,2010,Triwulan IV,44619.32,2026-07-09 11:56:13.319
40,s20102ptadhkmp2010,Pengeluaran Konsumsi Rumahtangga,Lainnya,nan,2010,Tahunan,170589.07,2026-07-09 11:56:13.319
41,s20102ptadhkmp2010,Pengeluaran Konsumsi LNPRT,,nan,2010,Triwulan I,17615.77,2026-07-09 11:56:13.319
42,s20102ptadhkmp2010,Pengeluaran Konsumsi LNPRT,,nan,2010,Triwulan II,17901.91,2026-07-09 11:56:13.319
43,s20102ptadhkmp2010,Pengeluaran Konsumsi LNPRT,,nan,2010,Triwulan III,18489.86,2026-07-09 11:56:13.319
44,s20102ptadhkmp2010,Pengeluaran Konsumsi LNPRT,,nan,2010,Triwulan IV,18751.33,2026-07-09 11:56:13.319
45,s20102ptadhkmp2010,Pengeluaran Konsumsi LNPRT,,nan,2010,Tahunan,72758.87,2026-07-09 11:56:13.319
46,s20102ptadhkmp2010,Pengeluaran Konsumsi Pemerintah,,nan,2010,Triwulan I,101960.02,2026-07-09 11:56:13.319
47,s20102ptadhkmp2010,Pengeluaran Konsumsi Pemerintah,,nan,2010,Triwulan II,135089.77,2026-07-09 11:56:13.319
48,s20102ptadhkmp2010,Pengeluaran Konsumsi Pemerintah,,nan,2010,Triwulan III,154802.67,2026-07-09 11:56:13.319
49,s20102ptadhkmp2010,Pengeluaran Konsumsi Pemerintah,,nan,2010,Triwulan IV,226325.53,2026-07-09 11:56:13.319
50,s20102ptadhkmp2010,Pengeluaran Konsumsi Pemerintah,,nan,2010,Tahunan,618177.99,2026-07-09 11:56:13.319
51,s20102ptadhkmp2010,Pengeluaran Konsumsi Pemerintah,Konsumsi Kolektif,nan,2010,Triwulan I,64528.24,2026-07-09 11:56:13.319
52,s20102ptadhkmp2010,Pengeluaran Konsumsi Pemerintah,Konsumsi Kolektif,nan,2010,Triwulan II,82697.08,2026-07-09 11:56:13.319
53,s20102ptadhkmp2010,Pengeluaran Konsumsi Pemerintah,Konsumsi Kolektif,nan,2010,Triwulan III,94019.44,2026-07-09 11:56:13.319
54,s20102ptadhkmp2010,Pengeluaran Konsumsi Pemerintah,Konsumsi Kolektif,nan,2010,Triwulan IV,139818.74,2026-07-09 11:56:13.319
55,s20102ptadhkmp2010,Pengeluaran Konsumsi Pemerintah,Konsumsi Kolektif,nan,2010,Tahunan,381063.49,2026-07-09 11:56:13.319
56,s20102ptadhkmp2010,Pengeluaran Konsumsi Pemerintah,Konsumsi Individu,nan,2010,Triwulan I,37431.79,2026-07-09 11:56:13.319
57,s20102ptadhkmp2010,Pengeluaran Konsumsi Pemerintah,Konsumsi Individu,nan,2010,Triwulan II,52392.69,2026-07-09 11:56:13.319
58,s20102ptadhkmp2010,Pengeluaran Konsumsi Pemerintah,Konsumsi Individu,nan,2010,Triwulan III,60783.23,2026-07-09 11:56:13.319
59,s20102ptadhkmp2010,Pengeluaran Konsumsi Pemerintah,Konsumsi Individu,nan,2010,Triwulan IV,86506.79,2026-07-09 11:56:13.319
60,s20102ptadhkmp2010,Pengeluaran Konsumsi Pemerintah,Konsumsi Individu,nan,2010,Tahunan,237114.5,2026-07-09 11:56:13.319
61,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,,nan,2010,Triwulan I,502873.55,2026-07-09 11:56:13.319
62,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,,nan,2010,Triwulan II,523471.69,2026-07-09 11:56:13.319
63,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,,nan,2010,Triwulan III,541676.74,2026-07-09 11:56:13.319
64,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,,nan,2010,Triwulan IV,559818.69,2026-07-09 11:56:13.319
