source_no,source_nama_ramah,source_tabel_db,source_url,source_judul_resmi_tabel,source_title_score,source_selected_th_id,source_selected_th_year,labelvervar,vervar_id,vervar,var_id,variabel,unit,subject,labelturvar,turvar_id,turvar,labeltahun,tahun_id,tahun,labelturtahun,turth_id,turth,nilai,datacontent_key
32,Penduduk Bekerja,usecase_ekonomi.ekonomi_penduduk_bekerja,https://www.bps.go.id/id/statistics-table/2/MTk1MyMy/jumlah-dan-persentase-penduduk-bekerja-dan-pengangguran.html,"Jumlah dan Persentase Penduduk Bekerja dan Pengangguran, 2026",1.0,126,2026,Penduduk Bekerja dan Pengangguran,1,Persentase (%),1953,Jumlah dan Persentase Penduduk Bekerja dan Pengangguran,,Tenaga Kerja,turvar,1664,Penduduk Bekerja,tahun,126,2026,turtahun,189,Februari,95.32,119531664126189
32,Penduduk Bekerja,usecase_ekonomi.ekonomi_penduduk_bekerja,https://www.bps.go.id/id/statistics-table/2/MTk1MyMy/jumlah-dan-persentase-penduduk-bekerja-dan-pengangguran.html,"Jumlah dan Persentase Penduduk Bekerja dan Pengangguran, 2026",1.0,126,2026,Penduduk Bekerja dan Pengangguran,1,Persentase (%),1953,Jumlah dan Persentase Penduduk Bekerja dan Pengangguran,,Tenaga Kerja,turvar,1665,Pengangguran,tahun,126,2026,turtahun,189,Februari,4.68,119531665126189
32,Penduduk Bekerja,usecase_ekonomi.ekonomi_penduduk_bekerja,https://www.bps.go.id/id/statistics-table/2/MTk1MyMy/jumlah-dan-persentase-penduduk-bekerja-dan-pengangguran.html,"Jumlah dan Persentase Penduduk Bekerja dan Pengangguran, 2026",1.0,126,2026,Penduduk Bekerja dan Pengangguran,2,Jumlah (Ribu orang),1953,Jumlah dan Persentase Penduduk Bekerja dan Pengangguran,,Tenaga Kerja,turvar,1664,Penduduk Bekerja,tahun,126,2026,turtahun,189,Februari,147667.63,219531664126189
32,Penduduk Bekerja,usecase_ekonomi.ekonomi_penduduk_bekerja,https://www.bps.go.id/id/statistics-table/2/MTk1MyMy/jumlah-dan-persentase-penduduk-bekerja-dan-pengangguran.html,"Jumlah dan Persentase Penduduk Bekerja dan Pengangguran, 2026",1.0,126,2026,Penduduk Bekerja dan Pengangguran,2,Jumlah (Ribu orang),1953,Jumlah dan Persentase Penduduk Bekerja dan Pengangguran,,Tenaga Kerja,turvar,1665,Pengangguran,tahun,126,2026,turtahun,189,Februari,7243.61,219531665126189
