0,1,2,3,4,5,6,7,8,9,10,11
"Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016","Rata-rata Pendapatan Bersih Sebulan Pekerja Bebas*) Menurut  Provinsi dan Pendidikan Tertinggi yang Ditamatkan (ribu rupiah), 2016"
Perkotaan+Perdesaan,Perkotaan+Perdesaan,Perkotaan+Perdesaan,,,,,,,,Laki-laki+Perempuan,Laki-laki+Perempuan
Provinsi,Provinsi,Februari 2016,Februari 2016,Februari 2016,Februari 2016,Jumlah,Agustus 2016,Agustus 2016,Agustus 2016,Agustus 2016,Jumlah
Provinsi,Provinsi,Pendidikan  Tertinggi yang Ditamatkan,Pendidikan  Tertinggi yang Ditamatkan,Pendidikan  Tertinggi yang Ditamatkan,Pendidikan  Tertinggi yang Ditamatkan,Jumlah,Pendidikan Tertinggi yang Ditamatkan,Pendidikan Tertinggi yang Ditamatkan,Pendidikan Tertinggi yang Ditamatkan,Pendidikan Tertinggi yang Ditamatkan,Jumlah
Provinsi,Provinsi,Tidak pernah sekolah/Belum tamat SD,SD,SMP,SMA ke atas,Jumlah,Tidak pernah  sekolah/Belum tamat SD,SD,SMP,SMA ke atas,Jumlah
Provinsi,Provinsi,Tidak pernah sekolah/Belum tamat SD,SD,SMP,SMA ke atas,Jumlah,Tidak pernah  sekolah/Belum tamat SD,SD,SMP,SMA ke atas,Jumlah
Provinsi,Provinsi,Tidak pernah sekolah/Belum tamat SD,SD,SMP,SMA ke atas,Jumlah,Tidak pernah  sekolah/Belum tamat SD,SD,SMP,SMA ke atas,Jumlah
Kalimantan  Tengah,Kalimantan  Tengah,"1 320,7","1 262,7","1 891,4","1 512,7","1 455,4","1 372,6","1 822,1","2 342,6",,"2 073,9"
Kalimantan  Selatan,Kalimantan  Selatan,9840,"1 233,2","1 666,2","1 503,1","1 309,2","1 221,2","1 537,3","1 417,5","1 587,8","1 460,4"
Kalimantan  Timur,Kalimantan  Timur,"1 081,7","1 761,5","2 435,2","2 297,9","1 862,7","1 453,4","2 434,3","2 292,1","2 850,4","2 272,6"
Kalimantan  Utara,Kalimantan  Utara,"1 337,0","1 168,6","1 554,6",-,"1 368,3",,,"1 932,8","1 834,2","1 748,1"
Sulawesi Utara,Sulawesi Utara,"1 433,0","1 528,0","1 461,4","1 362,2","1 462,2","1 576,8","1 789,5","1 959,2","2 082,3","1 844,9"
Sulawesi Tengah,Sulawesi Tengah,8950,9229,9368,"1 276,0",9740,8498,"1 009,6","1 196,4","1 382,6","1 099,7"
Sulawesi  Selatan,Sulawesi  Selatan,9590,"1 108,4","1 445,3","1 596,9","1 216,0","1 341,9","1 260,8","1 732,5","1 490,8","1 420,9"
Sulawesi  Tenggara,Sulawesi  Tenggara,"1 645,7","1 974,0","1 079,5","1 740,3","1 545,2","1 311,9","1 510,1","1 430,5","1 484,3","1 446,2"
Gorontalo,Gorontalo,"1 092,5","1 237,1","1 447,3",5272,"1 147,8",9670,9662,9154,"1 158,3",9874
Sulawesi Barat,Sulawesi Barat,"1 321,6",6029,"1 643,3","2 242,8","1 329,5",7530,"1 030,5","1 285,6",9033,9486
Maluku,Maluku,"1 710,9","1 899,9","1 319,9","1 230,5","1 498,9","2 396,9","1 131,9","1 464,9","2 156,5","1 728,5"
Maluku Utara,Maluku Utara,"1 034,9","1 093,5","1 381,3","1 367,6","1 266,7","1 597,5","1 389,0","1 657,5","2 242,3","1 732,5"
Papua Barat,Papua Barat,"1 760,1","1 416,6","1 519,7","1 845,4","1 573,0","3 234,0","2 490,5","2 877,0","2 569,1","2 693,4"
Papua,Papua,"1 427,6","1 261,9","1 981,1","2 603,8","1 870,9",,"1 878,8","1 953,5","2 666,4","2 859,8"
Indonesia,Indonesia,9222,"1 170,3","1 317,3","1 392,0","1 170,7","1 092,7","1 290,1","1 380,0","1 540,9","1 295,7"
Catatan:,Catatan:,,,,,,,,,,
*),Pekerja  bebas adalah pekerja bebas di pertanian dan pekerja bebas di nonpertanian,Pekerja  bebas adalah pekerja bebas di pertanian dan pekerja bebas di nonpertanian,Pekerja  bebas adalah pekerja bebas di pertanian dan pekerja bebas di nonpertanian,Pekerja  bebas adalah pekerja bebas di pertanian dan pekerja bebas di nonpertanian,Pekerja  bebas adalah pekerja bebas di pertanian dan pekerja bebas di nonpertanian,Pekerja  bebas adalah pekerja bebas di pertanian dan pekerja bebas di nonpertanian,,,,,
,Pekerja  bebas adalah pekerja bebas di pertanian dan pekerja bebas di nonpertanian,Pekerja  bebas adalah pekerja bebas di pertanian dan pekerja bebas di nonpertanian,Pekerja  bebas adalah pekerja bebas di pertanian dan pekerja bebas di nonpertanian,Pekerja  bebas adalah pekerja bebas di pertanian dan pekerja bebas di nonpertanian,Pekerja  bebas adalah pekerja bebas di pertanian dan pekerja bebas di nonpertanian,Pekerja  bebas adalah pekerja bebas di pertanian dan pekerja bebas di nonpertanian,,,,,
