var_id,title,sub_id,sub_name,subcsa_id,subcsa_name,def,notes,vertical,unit,graph_id,graph_name
406,Persentase Penduduk Usia 5 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Catatan:&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt; 
- Untuk perkotaan, pembagi adalah total penduduk  usia 5 tahun ke atas di daerah perkotaan&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;- Untuk perdesaan, pembagi adalah total penduduk usia 5 tahun ke atas di daerah perdesaan&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;- Untuk perkotaan+perdesaan, pembagi adalah total penduduk usia 5 tahun ke atas di daerah perkotaan dan perdesaan
&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;",1,Tidak Ada Satuan,1.0,bar
407,Persentase Penduduk Usia 5 Tahun ke Atas  yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Media,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Catatan:&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt; - Pembagi adalah total penduduk yang mengakses internet&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;- Jawaban dapat lebih dari satu
&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;- Nilai untuk tahun 2018 tidak tersedia&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;",1,Tidak Ada Satuan,1.0,bar
420,Persentase Penduduk Usia 5 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Kelompok Umur,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Catatan: 
- Pembagi adalah total penduduk yang mengakses internet							
&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;",1,Tidak Ada Satuan,1.0,bar
423,Persentase Penduduk Usia 5 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Jenjang Pendidikan Tertinggi yang Ditamatkan,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Catatan: 
- Pembagi adalah total penduduk yang mengakses internet&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;",1,Tidak Ada Satuan,1.0,bar
424,Persentase Penduduk Usia 5 Tahun Ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir untuk Kelompok Umur 5-12 tahun Menurut Provinsi dan Jenis Kelamin,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;Catatan: 
- Pembagi adalah total penduduk yang mengakses internet pada masing-masing kelompok umur						
&lt;br /&gt;&lt;/p&gt;",1,Tidak Ada Satuan,1.0,bar
425,Persentase Penduduk Usia 10 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Jenis Kegiatan Utama,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;Catatan: 
- Pembagi adalah total penduduk yang mengakses internet pada masing-masing kegiatan utama&lt;br /&gt;&lt;/p&gt;",1,Tidak Ada Satuan,1.0,bar
426,Persentase Penduduk Usia 5 Tahun Ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir untuk Kelompok Umur 13-15 tahun Menurut Provinsi dan Jenis Kelamin,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;Catatan: 
- Pembagi adalah total penduduk yang mengakses internet pada masing-masing kelompok umur&lt;br /&gt;&lt;/p&gt;",1,Tidak Ada Satuan,1.0,bar
427,Persentase Penduduk Usia 5 Tahun Ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir untuk Kelompok Umur 16-18 tahun Menurut Provinsi dan Jenis Kelamin,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;Catatan: 
- Pembagi adalah total penduduk yang mengakses internet pada masing-masing kelompok umur							
&lt;br /&gt;&lt;/p&gt;",1,Tidak Ada Satuan,1.0,bar
428,Persentase Penduduk Usia 5 Tahun Ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir untuk Kelompok Umur 19-24 tahun Menurut Provinsi dan Jenis Kelamin,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;Catatan: 
- Pembagi adalah total penduduk yang mengakses internet pada masing-masing kelompok umur							
&lt;br /&gt;&lt;/p&gt;",1,Tidak Ada Satuan,1.0,bar
429,Persentase Penduduk Usia 5 Tahun Ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir untuk Kelompok Umur 25+ tahun Menurut Provinsi dan Jenis Kelamin,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;Catatan: 
- Pembagi adalah total penduduk yang mengakses internet pada masing-masing kelompok umur&lt;br /&gt;&lt;/p&gt;",1,Tidak Ada Satuan,1.0,bar
430,Persentase Penduduk Usia 5 Tahun Ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir untuk Kelompok Umur => 5 Tahun Menurut Provinsi dan Jenis Kelamin,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Catatan: 
- Pembagi adalah total penduduk di daerah perkotaan dan perdesaan yang mengakses internet&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;",1,Persen,1.0,bar
431,"Persentase Penduduk Usia 5 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi, Jenjang Pendidikan Tertinggi yang Ditamatkan (Laki-laki)",2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).
Catatan: 
- Pembagi adalah total penduduk yang mengakses internet pada masing-masing jenjang pendidikan&lt;br /&gt;&lt;/p&gt;",1,Tidak Ada Satuan,1.0,bar
432,Persentase Penduduk Usia 10 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Kelompok Lapangan Usaha,2,Komunikasi,565.0,Masyarakat Informasi,,"Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).
Catatan: 
- Pembagi adalah total penduduk yang mengakses internet",1,Persen,1.0,bar
433,"Persentase Penduduk Usia 5 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi, Jenjang Pendidikan Tertinggi yang Ditamatkan (Perempuan)",2,Komunikasi,565.0,Masyarakat Informasi,,"Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).
Catatan: 
- Pembagi adalah total penduduk yang mengakses internet pada masing-masing jenjang pendidikan",1,Tidak Ada Satuan,1.0,bar
434,"Persentase Penduduk Usia 5 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi, Jenjang Pendidikan Tertinggi yang Ditamatkan (Laki-laki+Perempuan)",2,Komunikasi,565.0,Masyarakat Informasi,,"Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).
Catatan: 
- Pembagi adalah total penduduk yang mengakses internet pada masing-masing jenjang pendidikan",1,Tidak Ada Satuan,1.0,bar
