tahun,bulan,status,detail,timestamp
2023,MARET,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_MARET_2023.zip,2026-07-08T12:36:40
2023,FEBRUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_FEBRUARI_2023.zip,2026-07-08T12:36:44
2023,JANUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JANUARI_2023.zip,2026-07-08T12:36:49
2022,DESEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_DESEMBER_2022.zip,2026-07-08T12:36:54
2022,NOVEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_NOVEMBER_2022.zip,2026-07-08T12:36:58
2022,OKTOBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_OKTOBER_2022.zip,2026-07-08T12:37:03
2022,SEPTEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_SEPTEMBER_2022.zip,2026-07-08T12:37:07
2022,AGUSTUS,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_AGUSTUS_2022.zip,2026-07-08T12:37:12
2022,JULI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JULI_2022.zip,2026-07-08T12:37:37
2022,JUNI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JUNI_2022.zip,2026-07-08T12:37:42
2022,MEI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_MEI_2022.zip,2026-07-08T12:37:46
2022,APRIL,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_APRIL_2022.zip,2026-07-08T12:37:50
2022,MARET,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_MARET_2022.zip,2026-07-08T12:37:55
2022,FEBRUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_FEBRUARI_2022.zip,2026-07-08T12:38:00
2022,JANUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JANUARI_2022.zip,2026-07-08T12:38:04
2021,DESEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_DESEMBER_2021.zip,2026-07-08T12:38:09
2021,NOVEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_NOVEMBER_2021.zip,2026-07-08T12:38:14
2021,OKTOBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_OKTOBER_2021.zip,2026-07-08T12:38:39
2021,SEPTEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_SEPTEMBER_2021.zip,2026-07-08T12:38:47
2021,AGUSTUS,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_AGUSTUS_2021.zip,2026-07-08T12:38:54
2021,JULI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JULI_2021.zip,2026-07-08T12:38:58
2021,JUNI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JUNI_2021.zip,2026-07-08T12:39:02
2021,MEI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20MEI%202021.zip,2026-07-08T12:39:07
2021,APRIL,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20APRIL%202021.zip,2026-07-08T12:39:11
2021,MARET,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20MARET%202021.zip,2026-07-08T12:39:36
2021,FEBRUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20FEBRUARI%202021.zip,2026-07-08T12:39:40
2021,JANUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20JANUARI%202021.zip,2026-07-08T12:39:45
2020,DESEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20DESEMBER%202020.zip,2026-07-08T12:39:49
2020,NOVEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20NOVEMBER%202020.zip,2026-07-08T12:39:54
2020,OKTOBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20Oktober%202020.zip,2026-07-08T12:39:59
2020,SEPTEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20September%202020.zip,2026-07-08T12:40:03
2020,AGUSTUS,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20Agustus%202020.zip,2026-07-08T12:40:08
2020,JULI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20Juli%202020.zip,2026-07-08T12:40:13
2020,JUNI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20Juni%202020.zip,2026-07-08T12:40:38
2020,MEI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20Mei%202020.zip,2026-07-08T12:40:42
2020,APRIL,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20April%202020.zip,2026-07-08T12:40:47
2020,MARET,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20Maret%202020.zip,2026-07-08T12:40:51
2020,FEBRUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20FEBRUARI%202020.zip,2026-07-08T12:40:56
2020,JANUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20Januari%202020.zip,2026-07-08T12:41:05
2019,DESEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20Desember%202019.zip,2026-07-08T12:41:13
2019,NOVEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20November%202019.zip,2026-07-08T12:41:36
2019,OKTOBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20Oktober%202019.zip,2026-07-08T12:41:40
2019,SEPTEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20September%202019.zip,2026-07-08T12:41:45
2019,AGUSTUS,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20Agustus%202019.zip,2026-07-08T12:41:49
2019,JULI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20Juli%202019.zip,2026-07-08T12:41:53
2019,JUNI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20Juni%202019.zip,2026-07-08T12:41:59
2019,MEI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20Mei%202019.zip,2026-07-08T12:42:03
2019,APRIL,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20April%202019.zip,2026-07-08T12:42:08
2019,MARET,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20Maret%202019.zip,2026-07-08T12:42:12
2019,FEBRUARI,page_found_no_zip,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-FEBRUARI-2019.aspx,2026-07-08T12:42:33
2019,JANUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI%20Januari%202019.zip,2026-07-08T12:42:38
2018,DESEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_DESEMBER_2018.zip,2026-07-08T12:42:42
2018,NOVEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_NOVEMBER_2018.zip,2026-07-08T12:42:46
2018,OKTOBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_OKTOBER_2018.zip,2026-07-08T12:42:52
2018,SEPTEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_SEPTEMBER_2018.zip,2026-07-08T12:42:59
2018,AGUSTUS,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_AGUSTUS_2018.zip,2026-07-08T12:43:05
2018,JULI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JULI_2018.zip,2026-07-08T12:43:10
2018,JUNI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JUNI_2018.zip,2026-07-08T12:43:16
